Model,W,Fold,Accuracy,Precision,Recall,F1
DT,700,1,98.61111111111111,98.62275232455771,98.60868307150695,98.61096039066739
RF,700,1,99.65277777777779,99.6527735915026,99.6527735915026,99.6527735915026
SVM,700,1,99.82638888888889,99.82638888888889,99.82698961937716,99.82638836560922
NB,700,1,95.13888888888889,95.13883028103638,95.13883028103638,95.13883028103638
KNN,700,1,99.13194444444444,99.14383561643835,99.13494809688581,99.13192089629167
GBC,700,1,100.0,100.0,100.0,100.0
LR,700,1,100.0,100.0,100.0,100.0
DT,700,2,97.56944444444444,97.57062078776991,97.57062078776991,97.56944444444444
RF,700,2,99.47916666666666,99.48275862068965,99.48096885813149,99.47916509682767
SVM,700,2,100.0,100.0,100.0,100.0
NB,700,2,94.79166666666666,94.79160387253897,94.79160387253897,94.79160387253897
KNN,700,2,98.95833333333334,98.95952642175952,98.95952642175952,98.95833333333334
GBC,700,2,99.82638888888889,99.82638888888889,99.82698961937716,99.82638836560922
LR,700,2,100.0,100.0,100.0,100.0
DT,700,3,98.60869565217392,98.63498789346248,98.60321339560095,98.60835471223194
RF,700,3,99.82608695652175,99.82578397212544,99.82698961937716,99.82608485244434
SVM,700,3,99.82608695652175,99.82758620689656,99.82517482517483,99.82607853990666
NB,700,3,96.52173913043478,96.53722348613196,96.52708882812688,96.52164444551987
KNN,700,3,98.95652173913044,98.97260273972603,98.96193771626298,98.95649333365596
GBC,700,3,99.82608695652175,99.82758620689656,99.82517482517483,99.82607853990666
LR,700,3,100.0,100.0,100.0,100.0
DT,700,4,97.91304347826087,97.91696916896568,97.91117187310958,97.91288566243195
RF,700,4,99.82608695652175,99.82758620689656,99.82517482517483,99.82607853990666
SVM,700,4,99.82608695652175,99.82578397212544,99.82698961937716,99.82608485244434
NB,700,4,95.30434782608695,95.32592646382494,95.31057178116001,95.30412057747975
KNN,700,4,99.47826086956522,99.48096885813149,99.48096885813149,99.47826086956522
GBC,700,4,99.82608695652175,99.82578397212544,99.82698961937716,99.82608485244434
LR,700,4,100.0,100.0,100.0,100.0
DT,700,5,96.69565217391303,96.70301079432693,96.69284003194039,96.69529234185046
RF,700,5,99.65217391304347,99.65635738831615,99.65034965034964,99.65214761040532
SVM,700,5,100.0,100.0,100.0,100.0
NB,700,5,96.69565217391303,96.70574996369973,96.70009920874973,96.69561219644245
KNN,700,5,98.95652173913044,98.96249243799153,98.96012292206063,98.95651858304298
GBC,700,5,99.65217391304347,99.65635738831615,99.65034965034964,99.65214761040532
LR,700,5,100.0,100.0,100.0,100.0
DT,800,1,98.4126984126984,98.4219229860619,98.41582287450987,98.41267341700393
RF,800,1,99.8015873015873,99.80314960629921,99.800796812749,99.80158027140985
SVM,800,1,100.0,100.0,100.0,100.0
NB,800,1,98.21428571428571,98.21428571428571,98.2150449585059,98.21427868432966
KNN,800,1,99.40476190476191,99.40476190476191,99.40553989575295,99.40475956144323
GBC,800,1,99.8015873015873,99.8015873015873,99.80237154150198,99.80158652048108
LR,800,1,100.0,100.0,100.0,100.0
DT,800,2,98.21428571428571,98.22328629032258,98.21189550099996,98.2141099487777
RF,800,2,99.60317460317461,99.60316835425098,99.60316835425098,99.60316835425098
SVM,800,2,100.0,100.0,100.0,100.0
NB,800,2,97.61904761904762,97.6190101255059,97.6190101255059,97.6190101255059
KNN,800,2,99.60317460317461,99.60474308300395,99.60474308300395,99.60317460317461
GBC,800,2,99.0079365079365,99.00944881889764,99.00713352125096,99.0079013570492
LR,800,2,100.0,100.0,100.0,100.0
DT,800,3,97.61431411530815,97.61422924901186,97.61422924901186,97.61422924901186
RF,800,3,99.80119284294234,99.80314960629921,99.8,99.80118026980985
SVM,800,3,100.0,100.0,100.0,100.0
NB,800,3,97.21669980119285,97.21660079051384,97.21660079051384,97.21660079051384
KNN,800,3,99.40357852882704,99.40711462450594,99.40711462450594,99.40357852882704
GBC,800,3,99.60238568588468,99.60237154150198,99.60237154150198,99.60237154150198
LR,800,3,100.0,100.0,100.0,100.0
DT,800,4,98.40954274353876,98.40948616600791,98.40948616600791,98.40948616600791
RF,800,4,99.60238568588468,99.60237154150198,99.60237154150198,99.60237154150198
SVM,800,4,100.0,100.0,100.0,100.0
NB,800,4,97.61431411530815,97.61938646426313,97.61185770750988,97.61407836068685
KNN,800,4,99.80119284294234,99.800796812749,99.80237154150198,99.8011896998083
GBC,800,4,99.20477137176938,99.20474308300396,99.20474308300396,99.20474308300396
LR,800,4,100.0,100.0,100.0,100.0
DT,800,5,98.80715705765407,98.80948616600791,98.80794283184721,98.80715234300892
RF,800,5,99.60238568588468,99.60474308300395,99.60317460317461,99.6023841143363
SVM,800,5,100.0,100.0,100.0,100.0
NB,800,5,97.4155069582505,97.42330803289057,97.41431100992854,97.41534350752788
KNN,800,5,99.80119284294234,99.8015873015873,99.8015873015873,99.80119284294234
GBC,800,5,99.40357852882704,99.40944881889764,99.40476190476191,99.40356909942491
LR,800,5,100.0,100.0,100.0,100.0
